Week,Customer Group,Item,Demand Plan,weekly_eoq,cycle_time,cycle_time_in_hr,full_cycles_in_lead_time,effective_lead_time,reorder_point
21-Apr-25,Store1,Item1,56248.56349233459,11618.801675801296,0.20656174939266986,4.957481985424076,9.0,0.14094425546597122,7927.911902457509
28-Apr-25,Store1,Item1,83951.2173889625,14194.46799755137,0.16907995427613168,4.0579189026271605,11.0,0.14012050296255163,11763.286804859936
05-May-25,Store1,Item1,117793.35708747676,16813.805548118613,0.1427398451309287,3.4257562831422885,14.0,0.00164216816699847,193.43650129293795
12-May-25,Store1,Item1,121044.95163718158,17044.291828328798,0.14080960500870054,3.379430520208813,14.0,0.028665529878192375,3469.8176777599797
19-May-25,Store1,Item1,275822.59703660087,25728.859922037784,0.09328046432186858,2.238731143724846,21.0,0.04111024924075979,11339.135710408314
26-May-25,Store1,Item1,248456.32528210725,24419.156018934344,0.09828349506178946,2.358803881482947,20.0,0.03433009876421078,8529.530185527623
02-Jun-25,Store1,Item1,113378.46823083484,16495.706221741573,0.14549240679594344,3.4918177631026426,13.0,0.10859871165273516,12312.755579029226
09-Jun-25,Store1,Item1,160422.54555250148,19621.776405973123,0.12231308472506132,2.9355140334014718,16.0,0.042990644399018896,6896.668609433002
16-Jun-25,Store1,Item1,60854.39605408011,12085.137588368296,0.19859103650668836,4.766184876160521,10.0,0.014089634933116546,857.4162244772768
23-Jun-25,Store1,Item1,251680.08715219103,24577.06673232708,0.09765201137055121,2.343648272893229,20.0,0.04695977258897566,11818.839657840464
30-Jun-25,Store1,Item1,251322.65946646148,24559.608765603487,0.09772142638368396,2.345314233208415,20.0,0.04557147232632075,11453.143620853183
07-Jul-25,Store1,Item1,112871.8976874243,16458.81388344307,0.14581852720348867,3.4996446528837284,13.0,0.10435914635464716,11779.214890088671
14-Jul-25,Store1,Item1,88434.80226528489,14568.580076201104,0.16473808617221283,3.9537140681331078,12.0,0.023142965933446114,2046.6436161565314
21-Jul-25,Store1,Item1,118646.43899087056,16874.580100793304,0.14222576121388478,3.413418269133235,14.0,0.008839343005613065,1048.756570634849
28-Jul-25,Store1,Item1,66025.27736748959,12588.116049750059,0.19065601163151438,4.575744279156345,10.0,0.09343988368485623,6169.3942374785975
04-Aug-25,Store1,Item1,130474.64351403968,17695.73803020646,0.1356258775928544,3.255021062228506,14.0,0.1012377137000382,13208.954605188896
11-Aug-25,Store1,Item1,65910.84732643914,12577.202931632053,0.19082144202062015,4.579714608494884,10.0,0.09178557979379853,6049.665336557752
18-Aug-25,Store1,Item1,134559.19392634803,17970.588900290255,0.13355154988611623,3.2052371972667895,14.0,0.1302783015943727,17530.143248632452
25-Aug-25,Store1,Item1,90259.5797885438,14718.117797208482,0.16306432881351152,3.9135438915242764,12.0,0.0432280542378618,3901.746010585786
01-Sep-25,Store1,Item1,58746.75880081225,11874.014532665413,0.2021220366033409,4.850928878480182,9.0,0.18090167056993178,10627.386807635778
08-Sep-25,Store1,Item1,59637.07647615739,11963.652600388301,0.2006076304758385,4.8145831314201235,9.0,0.19453132571745368,11601.279548820068
15-Sep-25,Store1,Item1,66952.1115552491,12676.161395808978,0.18933176417219597,4.543962340132703,10.0,0.10668235827804029,7142.609152408405
22-Sep-25,Store1,Item1,78977.69570916849,13767.587650057085,0.17432247834572884,4.183739480297492,11.0,0.08245273819698284,6511.927267709045
29-Sep-25,Store1,Item1,43592.441944198494,10228.482813500563,0.2346389042989096,5.63133370317383,8.0,0.1228887656087232,5357.021380392483
06-Oct-25,Store1,Item1,38322.14732912329,9590.263478648327,0.2502538126656622,6.0060915039758935,7.0,0.24822331134036446,9512.450307708286
13-Oct-25,Store1,Item1,52228.43144124721,11195.902619217144,0.21436413674057272,5.144739281773745,9.0,0.07072276933484556,3693.7393095401217
20-Oct-25,Store1,Item1,48383.59344314317,10775.928000109485,0.2227186373160266,5.345247295584638,8.0,0.21825090147178727,10559.762885410451
27-Oct-25,Store1,Item1,54220.92618445507,11407.4634710216,0.21038857639971623,5.04932583359319,9.0,0.10650281240255399,5774.6811297157465
03-Nov-25,Store1,Item1,45307.86402149397,10427.793326087045,0.2301541586939547,5.5236998086549125,8.0,0.15876673044836243,7193.381434291592
10-Nov-25,Store1,Item1,43075.75169343953,10167.68430195661,0.23604194708702333,5.66500673008856,8.0,0.11166442330381332,4810.028971226186
17-Nov-25,Store1,Item1,35031.01220007194,9169.2109409792,0.26174553246167315,6.281892779080156,7.0,0.16778127276828791,5877.547813289492
24-Nov-25,Store1,Item1,28117.133036421976,8214.689238639081,0.2921595607915662,7.011829458997589,6.0,0.24704263525060277,6946.130641009468
01-Dec-25,Store1,Item1,31975.28025470037,8760.175375600702,0.2739671179054937,6.57521082973185,7.0,0.08223017466154392,2629.332880195828
08-Dec-25,Store1,Item1,32721.41921546307,8861.79474582386,0.27082550079722906,6.499812019133497,7.0,0.10422149441939665,3410.2752101591227
15-Dec-25,Store1,Item1,39306.82915711814,9712.692210560548,0.24709935700325145,5.9303845680780345,8.0,0.02320514397398843,912.1206297518927
22-Dec-25,Store1,Item1,32859.59321284089,8880.485556027785,0.27025549277212185,6.486131826530924,7.0,0.10821155059514709,3555.787533487284
29-Dec-25,Store1,Item1,29726.65203383301,8446.535673351485,0.2841401602756398,6.819363846615356,7.0,0.011018878070521154,327.5543542056156
05-Jan-26,Store1,Item1,34419.60324842544,9088.841939225318,0.26406004373804326,6.337441049713038,7.0,0.15157969383369707,5217.312922273653
