Week,Customer Group,Item,Demand Plan,weekly_eoq,cycle_time,cycle_time_in_hr,full_cycles_in_lead_time,effective_lead_time,reorder_point
12-Jan-26,Store1,Item1,33176.12931205683,8923.15585143151,0.2689631381497138,6.455115315593131,7.0,0.11725803295200343,3890.167664093087
19-Jan-26,Store1,Item1,31773.55461869882,8732.498559111084,0.27483543040450326,6.596050329708078,7.0,0.07615198716847726,2419.6193236200643
26-Jan-26,Store1,Item1,43464.58388080812,10213.471560343205,0.23498376490503997,5.63961035772096,8.0,0.12012988075968023,5221.395278870598
02-Feb-26,Store1,Item1,149945.3896348788,18970.211783839135,0.12651413844755166,3.03633932274124,15.0,0.10228792328672509,15337.602512170588
09-Feb-26,Store1,Item1,47873.85653798666,10719.01374619736,0.2239011962132631,5.373628709118314,8.0,0.2087904302938952,9995.603106394445
16-Feb-26,Store1,Item1,33273.36318712574,8936.22244850148,0.2685698586657786,6.445676607978687,7.0,0.12001098933954979,3993.1692347411154
23-Feb-26,Store1,Item1,39660.44745984757,9756.28381627114,0.24599530366238173,5.903887287897161,8.0,0.03203757070094615,1270.6243895260268
02-Mar-26,Store1,Item1,35684.29877851955,9254.313430419727,0.2593385255475564,6.224124613141353,7.0,0.18463032116710543,6588.403544101013
09-Mar-26,Store1,Item1,43844.36836860673,10257.996104730015,0.23396382446405373,5.615131787137289,8.0,0.12828940428757019,5624.7678993733425
16-Mar-26,Store1,Item1,135741.90221202173,18049.392380599744,0.13296846505368357,3.191243161288406,15.0,0.00547302419474649,742.9187150473069
23-Mar-26,Store1,Item1,60729.056192716766,12072.685486772205,0.19879586879237687,4.771100851017045,10.0,0.01204131207623127,731.2575177114878
30-Mar-26,Store1,Item1,46578.6017250538,10573.014903050554,0.22699296482666886,5.447831155840053,8.0,0.1840562813866491,8573.08422570316
06-Apr-26,Store1,Item1,115359.0257491683,16639.160489580114,0.14423804623454076,3.4617131096289784,13.0,0.12490539895097008,14408.965133795096
13-Apr-26,Store1,Item1,65283.875694530434,12517.2401777258,0.1917355555956141,4.601653334294738,10.0,0.08264444404385918,5395.349611802879
20-Apr-26,Store1,Item1,54609.64753676302,11448.281708982848,0.2096384471493962,5.031322731585509,9.0,0.11325397565543427,6184.759692680405
27-Apr-26,Store1,Item1,72804.91870414362,13218.615846220235,0.181562126316445,4.35749103159468,11.0,0.0028166105191049784,205.06309986467372
